ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"178.132.4.53","elite","AS49981","NL","WorldStream B.V.","12","Worldstream","443","socks4","1","100","7781","7804","2024-08-20T14:38:08.293Z","3695"
"95.216.224.61","elite","AS24940","FI","Hetzner Online GmbH","40","HETZNER-DC","59792","socks4","1","97","925","955","2024-08-20T14:38:08.802Z","3016"
"45.196.144.152","elite","AS7018","US","AT&T Services, Inc.","94","AQUA Networks Limited","5432","socks4","2","99","7594","7701","2024-08-20T14:38:08.003Z","2135"
"95.216.181.107","elite","AS24940","FI","Hetzner Online GmbH","41","Hetzner Online GmbH","9070","socks4","1","100","1050","1050","2024-08-20T14:38:08.207Z","1202"
"186.228.235.54","elite","AS26615","BR","TIM S/A","198","TIM S.A","4145","socks4","83","96","848","884","2024-08-20T14:38:08.097Z","1596"
"89.223.122.218","elite","AS9123","RU","vds","40","N/A","7777","socks5","1","40","3057","7686","2024-08-20T14:38:08.797Z","72"
"166.62.52.254","elite","AS398101","US","GoDaddy.com, LLC","153","GoDaddy.com, LLC","5138","socks4","1","99","7651","7716","2024-08-20T14:38:08.806Z","5190"
"5.59.163.102","elite","AS57888","BA","Telesat d.o.o.","53","DSL-Elektronika d.o.o","5678","socks4","2","96","7369","7708","2024-08-20T14:38:08.200Z","3408"
"128.199.64.85","elite","AS14061","SG","DigitalOcean, LLC","193","DigitalOcean, LLC","80","socks4","1","95","955","1005","2024-08-20T14:38:08.804Z","2691"
"139.59.84.117","elite","AS14061","IN","DIGITALOCEAN","190","DigitalOcean, LLC","52125","socks4","1","80","6143","7648","2024-08-20T14:38:08.006Z","309"
"103.81.12.1","elite","AS135792","IN","Syswall Telecom Pvt. Ltd.","149","Syswall Telecom Pvt. Ltd.","44832","socks4","2","99","7739","7778","2024-08-20T14:37:47.291Z","4502"
"1.179.242.33","elite","AS23969","TH","TOT Public Company Limited","258","TOT Public Company Limited","4145","socks4","1","81","6355","7835","2024-08-20T14:37:47.397Z","230"
"186.201.31.189","elite","AS10429","BR","Vivo","211","TELEF�NICA BRASIL S.A","4145","socks4","1","70","5388","7721","2024-08-20T14:37:47.393Z","983"
"92.205.28.187","elite","AS21499","FR","Host Europe GmbH","85","GD MASS Network","8011","socks4","1","100","1039","1044","2024-08-20T14:37:47.192Z","1394"
"185.128.242.4","elite","AS49052","RO","Data ZYX SRL","44","Data ZYX Pppoe Users3","45629","socks4","1","100","92","92","2024-08-20T14:37:47.389Z","2800"
"117.4.242.216","elite","AS7552","VN","VIETTEL","201","N/A","5678","socks4","1","73","773","1052","2024-08-20T14:37:45.594Z","752"
"197.234.13.47","elite","AS36902","SC","Intelvision","184","Intelvision Ltd","4145","socks4","1","99","7643","7686","2024-08-20T14:37:45.504Z","3088"
"175.155.178.210","elite","AS4837","CN","China Unicom Sichuan Province Network","189","N/A","1080","socks5","4","100","857","858","2024-08-20T14:37:45.495Z","3100"
"8.42.68.249","elite","AS399869","US","Mountain Broadband","200","Level 3, LLC","39593","socks4","2","100","7714","7716","2024-08-20T14:37:45.605Z","2984"
"155.133.83.91","elite","AS136787","DE","Tefincom S.A.","15","Packethub S.A","8080","socks4","81","51","3963","7714","2024-08-20T14:37:45.593Z","3403"
"154.113.160.1","elite","AS37282","NG","Mainone Cable Company","115","N/A","5678","socks4","73","99","7583","7628","2024-08-20T14:37:45.491Z","380"
"202.179.95.134","elite","AS138296","IN","Ankhnet","196","Ankhnet Informations Pvt. Ltd.","1088","socks4","1","99","903","915","2024-08-20T14:37:45.497Z","688"
"181.129.198.58","elite","N/A","CO","EPM Telecomunicaciones S.A. E.S.P.","134","N/A","5678","socks4","1","98","1036","1052","2024-08-20T14:37:45.405Z","462"
"73.248.90.20","elite","AS33659","US","Comcast Cable Communications","98","Comcast IP Services, L.L.C.","8081","socks4","2","4","283","7780","2024-08-20T14:37:45.598Z","71"
"120.26.68.107","elite","AS37963","CN","Addresses CNNIC","330","Aliyun Computing Co., LTD","80","socks4","2","89","6867","7673","2024-08-20T14:37:45.602Z","1554"
"85.172.5.74","elite","AS25490","RU","Southen Telecommunication Maintainer","83","OJSC Rostelecom Macroregional Branch South","3629","socks4","2","100","1031","1036","2024-08-20T14:37:45.502Z","5105"
"1.0.0.4","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","80","socks5","3","100","7697","7697","2024-08-20T14:37:45.596Z","3092"
"162.19.7.49","elite","AS16276","FR","OVH SAS","81","OVH","59191","socks4","2","100","955","955","2024-08-20T14:37:45.489Z","3585"
"189.50.138.10","elite","AS28330","BR","IFTNET Telecomunicacoes Ltda","281","IFTNET Telecomunicacoes Ltda","5678","socks4","2","99","1010","1016","2024-08-20T14:37:45.608Z","796"
"43.153.174.4","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","287","Tencent Cloud Computing","443","socks5","88","70","5456","7781","2024-08-20T14:37:25.993Z","4799"
"104.23.125.117","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","1","100","7661","7664","2024-08-20T14:37:25.291Z","1708"
"104.21.85.200","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1","100","7739","7739","2024-08-20T14:37:25.103Z","337"
"37.186.125.202","elite","AS49800","AM","GNC-Alfa CJSC","89","GNC","5678","socks4","1","100","7726","7762","2024-08-20T14:37:25.402Z","2204"
"75.119.206.18","elite","AS26347","US","New Dream Network, LLC","159","New Dream Network, LLC","23456","socks4","1","67","5142","7713","2024-08-20T14:37:25.097Z","71"
"89.161.89.161","elite","AS39375","PL","Telekomunikacja Podlasie sp. z o.o.","91","TPODLASIE CATV Network","5678","socks4","1","100","7785","7817","2024-08-20T14:37:25.100Z","5405"
"104.21.194.182","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1","100","7730","7731","2024-08-20T14:37:25.389Z","4705"
"212.200.89.254","elite","AS8400","RS","TELEKOM SRBIJA a.d.","41","Proal DOO Prokuplje","4153","socks4","2","100","1055","1055","2024-08-20T14:37:25.591Z","2897"
"185.171.54.29","elite","AS44285","IR","Shahrad","184","N/A","4153","socks4","1","97","7518","7773","2024-08-20T14:37:25.593Z","459"
"178.32.100.226","elite","AS16276","FR","OVH SAS","87","OVH ISP","2546","socks4","1","100","245","245","2024-08-20T14:37:25.991Z","4305"
"178.132.0.84","elite","AS49981","NL","WorldStream B.V.","12","Worldstream","35459","socks4","1","100","537","537","2024-08-20T14:37:25.905Z","1680"
"14.69.80.246","elite","AS4766","KR","Korea Telecom","258","Kornet","8080","socks4","1","100","846","849","2024-08-20T14:37:25.597Z","1611"
"203.77.237.62","elite","AS9228","ID","PT. Total Info Kharisma","186","Centralonline","4153","socks4","1","76","713","939","2024-08-20T14:37:25.495Z","2602"
"5.9.141.52","elite","AS24940","DE","Hetzner Online GmbH","26","Hetzner","30000","socks4","1","100","7696","7697","2024-08-20T14:37:25.499Z","1450"
"103.212.93.254","elite","AS138312","IN","Best Telnet Services Private Limited","109","Best telnet services private limited","45639","socks4","1","99","7627","7712","2024-08-20T14:37:09.098Z","1286"
"177.223.238.20","elite","AS52559","BR","Novatec Telecom Ltda","198","Novatec Telecom Ltda","4153","socks4","1","99","7657","7730","2024-08-20T14:37:09.101Z","4396"
"188.255.245.205","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","36","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1","100","7717","7733","2024-08-20T14:37:09.203Z","70"
"170.80.221.153","elite","AS265274","BR","Fixa Telecomunicações do Brasil Ltda","199","LOCALLINK TELECOMUNICAÇÕES LTDA - ME","4153","socks4","1","64","4906","7717","2024-08-20T14:37:09.199Z","2193"
"139.162.238.184","elite","AS63949","GB","Akamai Technologies, Inc.","9","Linode, LLC","12297","socks4","1","100","1068","1068","2024-08-20T14:37:09.202Z","3185"
"103.9.188.138","elite","AS38901","KH","EZECOM CO., LTD.","197","EZECOM limited","52269","socks4","1","96","7501","7814","2024-08-20T14:37:09.194Z","888"
"36.255.104.1","elite","AS136238","MV","SatLink Pvt Ltd","198","N/A","13623","socks4","1","99","7702","7777","2024-08-20T14:37:09.190Z","2107"
"103.208.203.1","elite","AS133275","IN","Gigantic","183","N/A","5678","socks4","1","98","7562","7737","2024-08-20T14:37:09.195Z","4800"
"38.57.3.54","elite","AS398779","US","Ace Host, LLC","105","Cogent Communications - IPENG","64362","socks4","1","100","991","993","2024-08-20T14:37:09.100Z","383"
"128.65.182.103","elite","AS43754","IR","Asiatech Data Transmission company","162","Asiatech Data Transmission Co.","5678","socks4","2","97","7548","7784","2024-08-20T14:37:09.192Z","2212"
"115.79.34.201","elite","AS7552","VN","VIETELftth","295","N/A","5678","socks4","2","95","7403","7775","2024-08-20T14:37:09.105Z","4739"
ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"104.16.106.65","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1294","88","2024-08-20T14:40:20.094Z","100","7708","7708"
"79.151.16.40","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","34","N/A","5678","socks4","74","2","2024-08-20T14:40:20.196Z","100","7727","7758"
"140.206.81.178","elite","AS17621","CN","China Unicom Shanghai network","382","Unicom SH","1080","socks4","1185","3","2024-08-20T14:40:20.202Z","96","582","608"
"103.95.197.233","elite","AS135918","VN","Viet Digital Technology Liability Company","205","DVS","9050","socks5","3889","1","2024-08-20T14:40:20.791Z","60","4626","7728"
"171.253.61.51","elite","AS7552","VN","Viettel Corporation","281","VIETEL","1080","socks4","2492","78","2024-08-20T14:40:20.205Z","58","507","874"
"134.236.30.92","elite","AS131090","TH","CAT-BB","270","N/A","5678","socks4","4304","1","2024-08-20T14:40:19.890Z","58","4500","7748"
"104.27.83.183","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","socks4","75","1","2024-08-20T14:40:19.695Z","100","7605","7606"
"124.158.153.33","elite","AS17995","ID","PT iForte Global Internet","167","N/A","1080","socks4","2112","1","2024-08-20T14:40:19.998Z","95","992","1042"
"174.138.176.74","elite","N/A","US","Interserver, Inc","80","N/A","38821","socks5","3601","1","2024-08-20T14:40:19.901Z","99","999","1012"
"103.140.74.200","elite","AS138891","ID","PT Kayong Muara Teknoindo","204","N/A","5678","socks4","3801","1","2024-08-20T14:40:19.800Z","97","996","1023"
"37.26.136.66","elite","AS1547","MD","JSCC Interdnestrcom","51","N/A","54373","socks4","2096","2","2024-08-20T14:40:19.607Z","99","868","876"
"202.40.181.220","elite","AS23991","BD","Ranks ITT","200","Ranks ITT Ltd.","31247","socks4","1902","1","2024-08-20T14:40:19.793Z","91","923","1013"
"103.86.1.22","elite","AS136371","IN","Airwir Technologies Private Limited","138","Airwir Technologies Private Limited","4145","socks4","993","1","2024-08-20T14:40:19.700Z","100","7699","7714"
"77.43.163.100","elite","AS15640","RU","MTS PJSC","99","CCL Home01","7788","socks5","2213","2","2024-08-20T14:40:19.807Z","38","322","846"
"182.253.246.31","elite","AS17451","ID","BIZNET","173","N/A","4153","socks4","1205","2","2024-08-20T14:40:19.892Z","97","7364","7623"
"124.70.205.56","elite","AS55990","CN","Huawei Cloud Service data center","291","Huawei Cloud Service","3128","socks4","842","1","2024-08-20T14:40:19.803Z","95","146","153"
"162.240.239.103","elite","AS46606","US","Unified Layer","195","Unified Layer","33594","socks4","545","1","2024-08-20T14:40:04.699Z","81","696","861"
"165.227.66.216","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","33636","socks4","2003","1","2024-08-20T14:40:04.703Z","100","7700","7719"
"205.185.117.77","elite","AS53667","US","FranTech Solutions","132","FranTech Solutions","16831","socks4","1015","2","2024-08-20T14:40:04.191Z","100","7692","7720"
"138.94.92.26","elite","AS264145","BR","FACILNET PROVEDOR E SERVIÇOS EIRELI","161","FACILNET PROVEDOR E SERVIÇOS EIRELI","7497","socks5","3311","1","2024-08-20T14:40:04.392Z","98","7588","7727"
"47.242.34.83","elite","AS45102","HK","Alibaba.com LLC","390","Hong Kong","443","socks4","1395","1","2024-08-20T14:40:04.702Z","99","7631","7688"
"51.254.49.255","elite","AS16276","FR","OVH SAS","6","OVH","52407","socks4","3787","2","2024-08-20T14:40:04.790Z","100","7714","7715"
"186.126.42.127","elite","AS7303","AR","Telecom Argentina S.A.","287","Telecom Personal Bs","1080","socks4","4101","1","2024-08-20T14:40:04.390Z","40","3123","7804"
"43.155.136.85","elite","AS132203","KR","Shenzhen Tencent Computer Systems Company Limited","266","Tencent Cloud Computing","15673","socks5","1404","2","2024-08-20T14:40:04.089Z","100","996","1001"
"47.242.15.120","elite","AS45102","HK","Alibaba.com LLC","313","Hong Kong","15673","socks5","1307","1","2024-08-20T14:40:03.999Z","99","1008","1019"
"36.89.183.77","elite","AS7713","ID","PT. Telekomunikasi Indonesia","178","Telekomunikasi Indonesia","31802","socks4","770","1","2024-08-20T14:40:03.893Z","98","7608","7780"
"43.153.55.253","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks5","1814","2","2024-08-20T14:40:03.989Z","81","6238","7700"
"64.25.54.2","elite","AS35977","US","Amdocs Inc.","126","Amdocs Inc","45160","socks4","71","1","2024-08-20T14:40:03.798Z","100","7719","7720"
"152.136.151.195","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","186","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","1183","1","2024-08-20T14:40:02.205Z","80","6232","7757"
"103.229.85.22","elite","AS133443","BD","Ashfakur Rahman Chowdhury t/a Comilla Online","195","N/A","4145","socks4","3007","1","2024-08-20T14:40:02.310Z","93","7282","7797"
"170.80.91.15","elite","N/A","CR","Corebases S.A","158","N/A","4145","socks4","1305","2","2024-08-20T14:40:02.390Z","100","948","950"
"171.252.131.44","elite","AS7552","VN","Viettel Corporation","214","VIETEL","11069","socks4","996","1","2024-08-20T14:40:02.394Z","78","324","418"
"197.234.13.60","elite","AS36902","SC","Intelvision","183","Intelvision Ltd","4145","socks4","2211","82","2024-08-20T14:40:02.291Z","99","7683","7732"
"75.119.205.16","elite","AS26347","US","New Dream Network, LLC","154","New Dream Network, LLC","23456","socks4","2988","1","2024-08-20T14:40:02.211Z","72","5513","7629"
"47.254.16.71","elite","AS45102","US","Alibaba.com LLC","148","ALICLOUD-US","5008","http","281","19886","2024-08-20T14:40:02.305Z","100","13","13"
"190.54.12.74","elite","AS6429","CL","Telmex Chile Internet S.A.","282","ADX S.A","5678","socks4","1003","81","2024-08-20T14:40:02.311Z","97","1025","1052"
"92.255.190.64","elite","AS41843","RU","CJSC \"ER-Telecom Holding\" Omsk branch","89","JSC \"ER-Telecom Holding\" Omsk Branch","4153","socks4","3190","1","2024-08-20T14:40:02.298Z","100","1050","1051"
"114.220.154.35","elite","AS140292","CN","China Telecom","219","Chinanet JS","44844","socks5","1106","1","2024-08-20T14:40:02.401Z","68","5278","7779"
"212.69.12.121","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","39","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1071","1","2024-08-20T14:39:41.301Z","100","7722","7737"
"45.196.148.8","elite","AS7018","US","AT&T Services, Inc.","98","AQUA Networks Limited","5432","socks4","3001","1","2024-08-20T14:39:41.008Z","98","7612","7732"
"45.161.170.69","elite","AS270021","AR","Coop Serv Publicos Y Sociales LA Tordilla Ltda","245","Cooperativa De Elect. Y De Serv. Publ. Miramar Ltda","4153","socks4","2488","1","2024-08-20T14:39:41.299Z","99","7727","7773"
"147.78.169.80","transparent","AS209531","SK","OSTV s.r.o.","82","OSTV s.r.o","8443","http","406","12994","2024-08-20T14:39:41.093Z","100","174","174"
"188.121.123.124","elite","AS202468","IR","Noyan Abr Arvan Co. ( Private Joint Stock)","88","Noyan Abr Arvan Co. ( Private Joint Stock)","1080","socks5","4486","1","2024-08-20T14:39:41.298Z","68","5220","7675"
"46.149.73.118","elite","AS216071","NL","Servers Tech Fzco","12","Servers Tech Fzco","3128","http","563","73809","2024-08-20T14:39:41.090Z","94","81","86"
"81.16.248.246","elite","AS34666","GE","JSC \"Global Erty\"","81","JSC \"Global Erty\"","25566","socks4","4585","1","2024-08-20T14:39:40.989Z","99","1043","1058"
"81.12.124.113","elite","AS42337","IR","Respina Networks & Beyond PJSC","201","Respina Networks","5678","socks4","4605","2","2024-08-20T14:39:40.992Z","79","6111","7744"
"122.154.71.65","elite","AS9931","TH","CAT Telecom Public Company Limited","282","Data Comm. Dept. National Telecom Public Company Limited","1080","socks4","665","81","2024-08-20T14:39:40.904Z","99","999","1013"
"58.58.68.218","elite","AS4134","CN","Chinanet","192","Chinanet SD","10800","socks4","1698","1","2024-08-20T14:39:40.906Z","89","6788","7599"
"23.231.34.48","elite","AS62904","US","Eonix Corporation","111","Eonix Corporation","80","socks4","76","1","2024-08-20T14:39:40.900Z","99","7697","7758"
"98.181.137.83","elite","AS22773","US","Cox Communications Inc.","198","Cox Communications Inc.","4145","socks4","590","2","2024-08-20T14:39:21.091Z","63","555","878"
"190.61.47.78","elite","AS52468","CO","Ufinet Panama S.A.","170","UFINET COLOMBIA, S. A","9992","socks4","1993","2","2024-08-20T14:39:21.197Z","80","536","671"
"192.111.139.163","elite","AS46562","US","Performive LLC","182","Total Server Solutions L.L.C.","19404","socks4","2104","2","2024-08-20T14:39:21.093Z","99","871","876"
"184.95.235.194","elite","AS22652","CA","Videotron Telecom Ltee","85","Videotron Ltee","1080","socks5","397","1","2024-08-20T14:39:21.299Z","100","1042","1046"
"198.23.143.24","elite","AS36352","US","HostPapa","83","ColoUp","6969","socks5","1811","1","2024-08-20T14:39:21.288Z","100","1030","1031"
"120.76.244.188","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","292","Aliyun Computing Co., LTD","8080","socks5","1731","83","2024-08-20T14:39:21.297Z","94","984","1045"
"117.94.221.78","elite","AS4134","CN","Chinanet","231","Chinanet JS","1080","socks5","970","1","2024-08-20T14:39:21.102Z","76","5829","7709"
"45.112.125.59","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","72","2","2024-08-20T14:39:21.392Z","99","7686","7793"
"103.23.204.146","elite","N/A","BD","Mizanur Rahman t/a Maya Cyber World","200","N/A","4673","socks4","887","2","2024-08-20T14:39:21.194Z","93","981","1060"
"116.206.151.198","elite","AS132445","IN","Wire And Wireless Solutions","137","Prakash Kumar Khetan T/A WIRE AND WIRELESS SOLUTIONS","4153","socks4","4605","1","2024-08-20T14:39:21.891Z","99","7654","7766"
"125.161.141.186","elite","AS7713","ID","PT. TELKOM INDONESIA","197","N/A","80","socks5","1193","1","2024-08-20T14:39:21.096Z","81","6190","7674"
"172.67.3.108","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","2215","2","2024-08-20T14:39:21.188Z","100","7702","7702"
"51.210.240.92","elite","AS16276","FR","OVH SAS","5","OVH","19144","socks5","4793","1","2024-08-20T14:39:21.895Z","100","7746","7755"
"51.15.201.113","elite","AS12876","FR","SCALEWAY","2","ONLINE","15713","socks5","4192","1","2024-08-20T14:39:21.898Z","99","7653","7716"
"124.105.29.181","elite","AS9299","PH","Philippine Long Distance Telephone Co.","284","Philstocks Financial, Inc.","13629","socks4","72","2","2024-08-20T14:39:21.100Z","98","7612","7747"
"104.129.205.15","elite","AS22616","US","ZSCALER, INC.","94","Zscaler, Inc.","10289","socks5","4695","1","2024-08-20T14:39:21.404Z","91","7020","7717"
"103.59.203.201","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","137","NET 4 U Services PVT LTD","4145","socks4","88","1","2024-08-20T14:39:21.901Z","99","7708","7778"
"200.123.109.166","elite","AS11664","AR","Techtel LMDS Comunicaciones Interactivas S.A","291","Telmex Argentina S.A","4153","socks4","1299","1","2024-08-20T14:39:21.307Z","100","995","1000"
"104.129.192.34","elite","AS22616","US","ZSCALER, INC.","192","Zscaler, Inc.","8800","socks4","75","1","2024-08-20T14:39:21.291Z","98","7621","7779"
"31.170.17.141","elite","AS42099","LV","DNET ITRisinajumi Ltd.","44","Sia Nano IT","4153","socks4","73","3","2024-08-20T14:39:21.202Z","100","7816","7843"
"103.36.10.198","elite","AS133360","ID","PT Awinet Global Mandiri","193","N/A","44550","socks4","5206","2","2024-08-20T14:39:21.294Z","95","524","550"
"36.67.147.221","elite","AS7713","ID","PT. Telekomunikasi Indonesia","262","N/A","4153","socks4","3588","2","2024-08-20T14:39:21.192Z","94","819","875"
"109.73.181.133","elite","AS49924","IT","ECROM-MAIN","87","N/A","4145","socks4","2699","1","2024-08-20T14:39:06.391Z","86","6591","7671"
